,MUNICIPALITY_NAME,geometry
162,SANTA CRISTINA E BISSONE,POINT (9.4212102 45.154432)
163,BOFFALORA D'ADDA,POINT (9.4877107 45.3593927)
164,CORBETTA,POINT (8.9332568 45.4590432)
165,COCCAGLIO,POINT (9.964779 45.5557165)
166,TICENGO,POINT (9.8224848 45.383278)
167,SEDRIANO,POINT (8.9758123 45.4839796)
168,PERO,POINT (9.0769983 45.5107884)
169,PARONA,POINT (8.7598016 45.2827953)
170,BORGORATTO MORMOROLO,POINT (9.2003805 44.9436213)
171,LANDRIANO,POINT (9.2710877 45.3069822)
172,SAN GENESIO ED UNITI,POINT (9.1869546 45.2374516)
173,SPINADESCO,POINT (9.9338007 45.1324332)
174,MONZA,POINT (9.2757063 45.592729)
175,SANT'ALESSIO CON VIALONE,POINT (9.230015 45.2246508)
176,LODI VECCHIO,POINT (9.4189649 45.3010752)
177,INZAGO,POINT (9.4787763 45.5404492)
178,BREMBIO,POINT (9.5641852 45.2123219)
179,PALAZZO PIGNANO,POINT (9.5841041 45.4014133)
180,SONCINO,POINT (9.8502217 45.4043705)
181,ROMAGNESE,POINT (9.3236745 44.8367761)
182,BOSNASCO,POINT (9.3667852 45.0567946)
183,LODI,POINT (9.4972608 45.3151449)
184,ROGNANO,POINT (9.0873805 45.2975267)
185,BERTONICO,POINT (9.6800209 45.2451287)
186,CORTE PALASIO,POINT (9.5682836 45.3096334)
187,CERVIGNANO D'ADDA,POINT (9.4303723 45.3738567)
188,PADERNO PONCHIELLI,POINT (9.9250092 45.2334465)
189,MONTODINE,POINT (9.6977631 45.2785015)
190,VIGEVANO,POINT (8.8849171 45.3077489)
191,TORRE PALLAVICINA,POINT (9.8595855 45.4469904)
192,PALOSCO,POINT (9.8329256 45.5811568)
193,CAVA MANARA,POINT (9.1124866 45.1263759)
194,CORVINO SAN QUIRICO,POINT (9.1518749 45.0181118)
195,PALAZZOLO SULL'OGLIO,POINT (9.8923022 45.5883486)
196,SAN DAMIANO AL COLLE,POINT (9.3521659 45.0334189)
197,GENIVOLTA,POINT (9.8785945 45.3435692)
198,CASTANA,POINT (9.2800211 45.0253599)
199,CASALMORANO,POINT (9.9088258 45.2928974)
200,BELLINZAGO LOMBARDO,POINT (9.4451777 45.5343105)
201,SAN ROCCO AL PORTO,POINT (9.6924485 45.0827379)
202,MEZZANA RABATTONE,POINT (9.0372615 45.099714)
203,VELLEZZO BELLINI,POINT (9.1035868 45.2738396)
204,PIOLTELLO,POINT (9.3254903 45.48748)
205,MESERO,POINT (8.8511309 45.4940509)
206,CORNEGLIANO LAUDENSE,POINT (9.480608 45.2860962)
207,VALERA FRATTA,POINT (9.3347463 45.2545242)
208,PAGAZZANO,POINT (9.6742589 45.5359938)
209,VILLA BISCOSSI,POINT (8.7874322 45.0861029)
210,SPIRANO,POINT (9.6691233 45.5821261)
211,GARBAGNATE MILANESE,POINT (9.0757857 45.5737152)
212,PIANENGO,POINT (9.7000668 45.4055792)
213,RIVOLTA D'ADDA,POINT (9.515007 45.4613658)
214,TRUCCAZZANO,POINT (9.4723999 45.479425)
215,CERGNAGO,POINT (8.7613763 45.1971544)
216,GODIASCO SALICE TERME,POINT (9.0646766 44.8900952)
217,BORGO PRIOLO,POINT (9.1491435 44.9566503)
218,FERRERA ERBOGNONE,POINT (8.8544594 45.1009971)
219,PANDINO,POINT (9.5396303 45.4096776)
220,ALBUZZANO,POINT (9.2680622 45.1885882)
221,ZIBIDO SAN GIACOMO,POINT (9.1091137 45.3734049)
222,TORRICELLA VERZATE,POINT (9.1721607 45.0245011)
223,PIEVE PORTO MORONE,POINT (9.4589364 45.1118075)
224,PADERNO DUGNANO,POINT (9.1691248 45.5719081)
225,GRUMELLO CREMONESE ED UNITI,POINT (9.864717 45.2008177)
226,BASIGLIO,POINT (9.1655594 45.3483485)
227,SAN BASSANO,POINT (9.8009194 45.2389048)
228,CAMPOSPINOSO,POINT (9.2427306 45.1113335)
