MUNICIPALITY_NAME,geometry
ROCCA DE' GIORGI,POINT (9.252323 44.9542528)
PASTURO,POINT (9.419517 45.9481347)
ROBECCO PAVESE,POINT (9.1508595 45.0526307)
COLOGNO AL SERIO,POINT (9.7110572 45.5751092)
ISORELLA,POINT (10.3143679 45.3064743)
REDONDESCO,POINT (10.519725 45.1764634)
CASELLE LANDI,POINT (9.8077163 45.0912984)
SESTO SAN GIOVANNI,POINT (9.2393357 45.5370537)
LIMONE SUL GARDA,POINT (10.7983294 45.8202792)
SORESINA,POINT (9.8485577 45.2916016)
SALERANO SUL LAMBRO,POINT (9.385971 45.2906587)
MASCIAGO PRIMO,POINT (8.7887645 45.9180865)
VEDANO OLONA,POINT (8.8881335 45.7707123)
RONCO BRIANTINO,POINT (9.403568 45.666201)
OLMO AL BREMBO,POINT (9.6513464 45.970116)
BAGNOLO SAN VITO,POINT (10.8977382 45.0792117)
MEZZOLDO,POINT (9.6597242 46.0245275)
CORNATE D'ADDA,POINT (9.4721485 45.6440305)
LUISAGO,POINT (9.0434997 45.7610306)
BOVEZZO,POINT (10.2495036 45.6016032)
PUSIANO,POINT (9.2821986 45.8199075)
TEGLIO,POINT (10.0957377 46.1392663)
OLMENETA,POINT (10.033105 45.2401931)
FAGNANO OLONA,POINT (8.8719685 45.6618975)
VILMINORE DI SCALVE,POINT (10.0692671 46.0124017)
MARUDO,POINT (9.3740835 45.2558261)
CILAVEGNA,POINT (8.7542025 45.3114305)
CASSINA DE PECCHI,POINT (9.376846 45.5149194)
TERNATE,POINT (8.6977517 45.7850549)
SAN BARTOLOMEO VAL CAVARGNA,POINT (9.1562109 46.0951995)
PORLEZZA,POINT (9.1201882 46.0280903)
MALNATE,POINT (8.8826095 45.7981754)
VANZAGHELLO,POINT (8.7777189 45.5835654)
BULGAROGRASSO,POINT (9.0082976 45.7492193)
LURAGO D'ERBA,POINT (9.2178441 45.7570516)
EDOLO,POINT (10.3722551 46.176576)
BAGOLINO,POINT (10.4557449 45.8645897)
LEZZENO,POINT (9.1909185 45.9418973)
SOLFERINO,POINT (10.558172 45.3661491)
ZONE,POINT (10.1336146 45.7623524)
BLELLO,POINT (9.5719807 45.8356821)
GROPELLO CAIROLI,POINT (8.9945785 45.1732988)
CONCESIO,POINT (10.2155781 45.6114686)
CAIOLO,POINT (9.8173202 46.1023943)
MORNAGO,POINT (8.7520589 45.7361586)
TRESCORE BALNEARIO,POINT (9.8562659 45.6982177)
VITTUONE,POINT (8.9567408 45.4774556)
BESANA IN BRIANZA,POINT (9.2742767 45.6946908)
BALLABIO,POINT (9.4203478 45.9030946)
SULZANO,POINT (10.1062367 45.6816764)
GARLATE,POINT (9.4006697 45.8107625)
CHIEVE,POINT (9.6134756 45.3371018)
CONCOREZZO,POINT (9.3347104 45.5913105)
CUSAGO,POINT (9.0283316 45.4476777)
CASTELVERDE,POINT (9.9939723 45.2010107)
BATTUDA,POINT (9.0636473 45.2717483)
TOVO DI SANT'AGATA,POINT (10.263823 46.2319758)
BRANZI,POINT (9.7816614 46.004231)
CHIESA IN VALMALENCO,POINT (9.7990264 46.2957909)
RENATE,POINT (9.2783476 45.7224952)
MONTE CREMASCO,POINT (9.5698155 45.3748434)
COMERIO,POINT (8.7419234 45.8525551)
GORNATE OLONA,POINT (8.8616036 45.7355463)
DAIRAGO,POINT (8.8527692 45.5632769)
GABBIONETA BINANUOVA,POINT (10.2036004 45.2184314)
TRAVACO' SICCOMARIO,POINT (9.1776414 45.1475639)
ALBAREDO PER SAN MARCO,POINT (9.6149623 46.078597)
SOMMO,POINT (9.0826172 45.1237213)
LEVATE,POINT (9.6265858 45.6289381)
EUPILIO,POINT (9.2691042 45.8147086)
SAN FELICE DEL BENACO,POINT (10.5791789 45.5880271)
ABBIATEGRASSO,POINT (8.9016879 45.3700246)
ANNICCO,POINT (9.8844629 45.2519152)
CABIATE,POINT (9.170539 45.6758601)
GUDO VISCONTI,POINT (8.9912959 45.3821978)
CLUSONE,POINT (9.936459 45.8756945)
MOGGIO,POINT (9.5100017 45.9129996)
DOMASO,POINT (9.330317 46.1457536)
CESANA BRIANZA,POINT (9.3003077 45.8204732)
OPERA,POINT (9.2096343 45.3794236)
PIANTEDO,POINT (9.4260139 46.1221916)
MISANO DI GERA D'ADDA,POINT (9.6290211 45.4675019)
CAIRATE,POINT (8.8645112 45.6863194)
RONCELLO,POINT (9.4593197 45.6006904)
BORNASCO,POINT (9.2080654 45.267382)
LINAROLO,POINT (9.2555211 45.1478164)
ASSO,POINT (9.2651421 45.8671505)
RHO,POINT (9.0514282 45.5310434)
PUEGNAGO SUL GARDA,POINT (10.5125037 45.5711097)
PONNA,POINT (9.1130537 45.9955731)
ROGOLO,POINT (9.4809618 46.1094204)
BARBIANELLO,POINT (9.208017 45.0785354)
TREZZANO SUL NAVIGLIO,POINT (9.0571327 45.4218941)
BRUSIMPIANO,POINT (8.8796868 45.9397551)
GARLASCO,POINT (8.9344764 45.2057786)
ERBA,POINT (9.2187876 45.8162262)
CASTELLI CALEPIO,POINT (9.8988815 45.6318333)
GRUMELLO DEL MONTE,POINT (9.8734771 45.6377023)
BERGAMO,POINT (9.6665313 45.6934118)
CANNETO SULL'OGLIO,POINT (10.3751847 45.1626628)
CLAINO CON OSTENO,POINT (9.0924329 46.0095067)
MOSCAZZANO,POINT (9.6780725 45.2930373)
MARTIGNANA DI PO,POINT (10.378894 45.0043918)
CASALETTO VAPRIO,POINT (9.6421982 45.4102434)
OFFANENGO,POINT (9.7500358 45.3866629)
VARENNA,POINT (9.2908782 45.9891078)
CASTRONNO,POINT (8.811001 45.7527705)
OFFLAGA,POINT (10.1117522 45.3789738)
REMEDELLO,POINT (10.3672206 45.2711321)
BRUGHERIO,POINT (9.2966825 45.5541319)
OLIVA GESSI,POINT (9.1854404 45.0009472)
AGRA,POINT (8.7638334 46.0367834)
RONCOLA,POINT (9.5428439 45.7803622)
CHIURO,POINT (10.0108279 46.220456)
IDRO,POINT (10.497835 45.7610821)
LIVO,POINT (9.2921579 46.2009836)
VARZI,POINT (9.2186449 44.8044431)
DESENZANO DEL GARDA,POINT (10.5646346 45.4524613)
OSSIMO,POINT (10.2217262 45.9682818)
SEGRATE,POINT (9.2858815 45.4827591)
CIVO,POINT (9.58899 46.1788416)
MAIRAGO,POINT (9.5870621 45.2543424)
OSSAGO LODIGIANO,POINT (9.5378806 45.2432821)
RIPALTA ARPINA,POINT (9.7201201 45.2880274)
NOVA MILANESE,POINT (9.1938545 45.5893516)
CELLATICA,POINT (10.1792542 45.5745943)
MORNICO AL SERIO,POINT (9.8029067 45.584532)
MEZZANINO,POINT (9.2049228 45.1246017)
GOMBITO,POINT (9.736955 45.2541918)
VELEZZO LOMELLINA,POINT (8.7369967 45.1576761)
AZZATE,POINT (8.7901796 45.7777662)
ERBUSCO,POINT (9.9594344 45.5937107)
VIGGIU',POINT (8.9064415 45.8680318)
SAREZZO,POINT (10.2023523 45.6626195)
POLAVENO,POINT (10.1313971 45.6669701)
MONVALLE,POINT (8.6181116 45.8549863)
BORGARELLO,POINT (9.151095 45.2406496)
GORLA MINORE,POINT (8.9154617 45.6492344)
PADERNO FRANCIACORTA,POINT (10.0858158 45.5812985)
DALMINE,POINT (9.5992406 45.6467653)
CAPERGNANICA,POINT (9.6459769 45.3310726)
CALCO,POINT (9.4264024 45.7246624)
CEDRASCO,POINT (9.7883953 46.105109)
CORTENOVA,POINT (9.3890963 45.9938846)
SONICO,POINT (10.4105413 46.1416114)
CUGGIONO,POINT (8.7953903 45.5070459)
MEZZAGO,POINT (9.4427906 45.6308925)
RIVAROLO MANTOVANO,POINT (10.4530126 45.0673097)
MESENZANA,POINT (8.7528344 45.9453817)
OLEVANO DI LOMELLINA,POINT (8.7189309 45.2049313)
ARDENNO,POINT (9.6469078 46.1805875)
VIADANA,POINT (10.5889684 44.9826089)
SARTIRANA LOMELLINA,POINT (8.6627493 45.1062112)
SAMOLACO,POINT (9.377259 46.2447009)
MORBEGNO,POINT (9.5939528 46.1305569)
MACCAGNO CON PINO E VEDDASCA,POINT (8.7807335 46.0737016)
BIANDRONNO,POINT (8.7138111 45.8136002)
VILLACHIARA,POINT (9.9157766 45.3562927)
BINASCO,POINT (9.1038591 45.3304226)
SCANDOLARA RAVARA,POINT (10.3080194 45.0451996)
PONTE IN VALTELLINA,POINT (9.9914219 46.1544114)
PEDRENGO,POINT (9.7399038 45.6959816)
GAZZANIGA,POINT (9.802887 45.8138465)
RONAGO,POINT (8.9839037 45.8300816)
VILLA GUARDIA,POINT (9.0236207 45.7738047)
CASTELCOVATI,POINT (9.9436996 45.4987693)
MENAGGIO,POINT (9.2323686 46.0237672)
BOVEGNO,POINT (10.2792705 45.8174821)
CAVARIA CON PREMEZZO,POINT (8.7960783 45.6927392)
AVERARA,POINT (9.628475 46.012445)
CASATENOVO,POINT (9.3266427 45.6810706)
VAREDO,POINT (9.1655928 45.5987232)
RONCARO,POINT (9.2698144 45.2288971)
CENATE SOTTO,POINT (9.8142214 45.7000193)
BRENO,POINT (10.3855774 45.9414611)
SAN BENEDETTO PO,POINT (10.9212914 45.0205856)
CREMENAGA,POINT (8.7995319 45.9800663)
SOLBIATE ARNO,POINT (8.8158631 45.7194069)
CASALOLDO,POINT (10.4832166 45.2519827)
BELGIOIOSO,POINT (9.3120849 45.1394088)
CAMPAGNOLA CREMASCA,POINT (9.6712366 45.4022224)
TORBOLE CASAGLIA,POINT (10.1140414 45.5019756)
COLVERDE,POINT (9.0011995 45.8044899)
GAGGIANO,POINT (9.0210123 45.3967623)
LAMBRUGO,POINT (9.2458442 45.7610156)
AMBIVERE,POINT (9.5394612 45.7213428)
POGGIRIDENTI,POINT (9.9255975 46.1729656)
PROVAGLIO VAL SABBIA,POINT (10.4420865 45.685366)
CORTE DE' FRATI,POINT (10.1054489 45.2266317)
CORNA IMAGNA,POINT (9.547574 45.8363186)
NIARDO,POINT (10.3641422 45.9555048)
RIVANAZZANO TERME,POINT (9.0230999 44.9339775)
GRANDOLA ED UNITI,POINT (9.1955441 46.0508554)
CASTREZZATO,POINT (9.980548 45.509607)
MAZZO DI VALTELLINA,POINT (10.2524277 46.2614742)
ROVESCALA,POINT (9.3470642 45.0104902)
LAGLIO,POINT (9.1315831 45.8883664)
TERRANOVA DEI PASSERINI,POINT (9.676214 45.2041446)
PIURO,POINT (9.4419715 46.3967574)
LOGRATO,POINT (10.0751778 45.4850049)
FAGGETO LARIO,POINT (9.1708144 45.85802)
POGLIANO MILANESE,POINT (8.990315 45.5366847)
MIRADOLO TERME,POINT (9.447724 45.1798629)
TAVERNOLE SUL MELLA,POINT (10.2074459 45.7479364)
PONTOGLIO,POINT (9.8579085 45.5632047)
TORLINO VIMERCATI,POINT (9.5948664 45.4270856)
SOLARO,POINT (9.0806803 45.6136682)
CASTELLO DI BRIANZA,POINT (9.3483937 45.7564017)
ALBIOLO,POINT (8.9408126 45.8056397)
MARONE,POINT (10.1151758 45.7502897)
MAZZANO,POINT (10.3526452 45.5030448)
SAN GIORGIO DI LOMELLINA,POINT (8.7808896 45.1751755)
CASTEL GOFFREDO,POINT (10.485121 45.3006922)
LENO,POINT (10.2161237 45.3610479)
SENNA COMASCO,POINT (9.100972 45.7610827)
BOLGARE,POINT (9.8124458 45.6294862)
RANICA,POINT (9.7098217 45.7283937)
SERRAVALLE A PO,POINT (11.0819825 45.0742728)
GRONTARDO,POINT (10.1466108 45.2014051)
CANNETO PAVESE,POINT (9.2849809 45.0482141)
ANGERA,POINT (8.5987641 45.7715767)
COZZO,POINT (8.616945 45.2072228)
CREMONA,POINT (10.0260679 45.1364777)
BREMBATE DI SOPRA,POINT (9.5800895 45.7156076)
MANTELLO,POINT (9.4812481 46.1599931)
ARLUNO,POINT (8.9488986 45.5070139)
COLLE BRIANZA,POINT (9.3809034 45.761818)
CEVO,POINT (10.4265839 46.0668886)
BRENNA,POINT (9.1837376 45.7397275)
CURIGLIA CON MONTEVIASCO,POINT (8.8240572 46.0592251)
SANT'ANGELO LODIGIANO,POINT (9.4016668 45.2297961)
CASALE CREMASCO - VIDOLASCO,POINT (9.7160699 45.43706)
DORIO,POINT (9.3412998 46.1051936)
NIBIONNO,POINT (9.2617103 45.7514472)
SARONNO,POINT (9.0380667 45.6273396)
BREGNANO,POINT (9.0571343 45.6948945)
CALUSCO D'ADDA,POINT (9.4814599 45.685651)
SANTA GIULETTA,POINT (9.190665 45.0381417)
MEDIGLIA,POINT (9.3415786 45.4107476)
OSSONA,POINT (8.8939444 45.5038136)
BIONE,POINT (10.3359312 45.6738386)
CALOLZIOCORTE,POINT (9.4472945 45.7952284)
BASTIDA PANCARANA,POINT (9.0885416 45.0981833)
BARGHE,POINT (10.4059779 45.6800621)
VEDESETA,POINT (9.5426987 45.9113211)
CUNARDO,POINT (8.8014997 45.9340857)
COLLIO,POINT (10.3547284 45.8283139)
DOSSO DEL LIRO,POINT (9.2388464 46.1955646)
DELEBIO,POINT (9.444091 46.1154255)
ROE' VOLCIANO,POINT (10.4983056 45.6182054)
LENTATE SUL SEVESO,POINT (9.1209592 45.6748549)
CASANOVA LONATI,POINT (9.2158232 45.0950308)
CODEVILLA,POINT (9.057735 44.9664021)
SAN GIOVANNI IN CROCE,POINT (10.3799513 45.0747485)
ROBECCO D'OGLIO,POINT (10.0623008 45.2572151)
RANCIO VALCUVIA,POINT (8.7728909 45.91248)
MAGREGLIO,POINT (9.2450141 45.9184072)
VILLA D'OGNA,POINT (9.9358461 45.9074937)
POMPONESCO,POINT (10.5937255 44.9465258)
PRESEGLIE,POINT (10.3853118 45.6686904)
CARENNO,POINT (9.4750966 45.8055939)
NERVIANO,POINT (8.979052 45.5492438)
VEROLANUOVA,POINT (10.0771252 45.3375011)
CODOGNO,POINT (9.6942845 45.1667183)
DAVERIO,POINT (8.7642623 45.7729859)
PLESIO,POINT (9.2159143 46.0653807)
INCUDINE,POINT (10.3687676 46.233333)
VAL REZZO,POINT (9.1008972 46.0702358)
GARDONE VAL TROMPIA,POINT (10.1748964 45.7079842)
CREMENO,POINT (9.4622225 45.9172622)
SORISOLE,POINT (9.6487876 45.7503076)
ALBINO,POINT (9.81988 45.7589511)
CIVIDATE CAMUNO,POINT (10.2657836 45.9405796)
LOZIO,POINT (10.2409199 45.9973107)
CAMBIAGO,POINT (9.4208655 45.5719022)
CANEGRATE,POINT (8.9256941 45.5670721)
MUSSO,POINT (9.2691086 46.1123547)
CASARILE,POINT (9.1017709 45.3146272)
BERZO DEMO,POINT (10.3478528 46.1031474)
CISLAGO,POINT (8.9615976 45.6566574)
MANTOVA,POINT (10.8135892 45.1443943)
GUSSOLA,POINT (10.3390375 45.0058045)
CORNOVECCHIO,POINT (9.8072223 45.1451429)
CORNALE E BASTIDA,POINT (8.911636 45.0625594)
SERINA,POINT (9.736973 45.8858629)
VERDERIO,POINT (9.4417456 45.6629705)
PIZZALE,POINT (9.053126 45.0467924)
CALVIGNASCO,POINT (9.0248768 45.3256802)
VERCURAGO,POINT (9.4267986 45.8096889)
VERANO BRIANZA,POINT (9.2235951 45.6849404)
CERVESINA,POINT (9.0132395 45.0625993)
MONTU' BECCARIA,POINT (9.3300323 45.0313957)
BUSNAGO,POINT (9.4637479 45.6104081)
PONTE SAN PIETRO,POINT (9.5791587 45.7001669)
LUNGAVILLA,POINT (9.0816576 45.0350564)
ASSAGO,POINT (9.1368 45.3992997)
SAN MARTINO IN STRADA,POINT (9.5361015 45.2770077)
GUARDAMIGLIO,POINT (9.6684858 45.1105802)
TURATE,POINT (9.0036352 45.6623097)
MONGUZZO,POINT (9.2245687 45.7774729)
BONATE SOTTO,POINT (9.5618817 45.6608191)
CASALZUIGNO,POINT (8.7073278 45.9116322)
CARONNO PERTUSELLA,POINT (9.0455797 45.5944834)
COLOGNO MONZESE,POINT (9.2841671 45.5330385)
COMMESSAGGIO,POINT (10.5670059 45.0379711)
AZZIO,POINT (8.7103361 45.8884964)
PASSIRANO,POINT (10.0567167 45.5924096)
LARDIRAGO,POINT (9.2519704 45.2396523)
VISANO,POINT (10.3672471 45.3133138)
CORNAREDO,POINT (9.0247002 45.4882025)
VARANO BORGHI,POINT (8.7030768 45.771093)
BIANZONE,POINT (10.0986386 46.2000937)
VIGNATE,POINT (9.3774697 45.4951167)
CASTELMARTE,POINT (9.2434268 45.835886)
COSTA VOLPINO,POINT (10.0895423 45.838174)
CASTRO,POINT (10.0656172 45.8004436)
ALZATE BRIANZA,POINT (9.1856854 45.760918)
ROMANENGO,POINT (9.7901394 45.3840528)
BINAGO,POINT (8.9200414 45.7735395)
LUZZANA,POINT (9.8679607 45.7213356)
CURTATONE,POINT (10.7131421 45.1096811)
CERESARA,POINT (10.560141 45.2505937)
LONGONE AL SEGRINO,POINT (9.257786 45.8239225)
CASALMAIOCCO,POINT (9.3718615 45.3585716)
FAEDO VALTELLINO,POINT (9.9034749 46.1415436)
MOZZATE,POINT (8.9494031 45.6805773)
TRIVOLZIO,POINT (9.0468353 45.2621994)
CIRIMIDO,POINT (9.0131837 45.6948924)
POMPIANO,POINT (9.9964149 45.4191888)
CERVENO,POINT (10.2849517 46.0134581)
MULAZZANO,POINT (9.4067 45.3686718)
BORGO DI TERZO,POINT (9.8765992 45.7250334)
SELVINO,POINT (9.7478872 45.7847981)
SAN NAZZARO VAL CAVARGNA,POINT (9.1357204 46.1036753)
ORIO LITTA,POINT (9.5515393 45.1544711)
BORDOLANO,POINT (9.9807459 45.2917346)
VILLANTERIO,POINT (9.3613048 45.2272114)
POGNANA LARIO,POINT (9.1646624 45.8819863)
TRIBIANO,POINT (9.3729617 45.4047259)
CINGIA DE' BOTTI,POINT (10.2657698 45.0805104)
VALLE LOMELLINA,POINT (8.6711863 45.1555438)
SAN CIPRIANO PO,POINT (9.2831756 45.1110247)
LANGOSCO,POINT (8.5586611 45.2158517)
GHEDI,POINT (10.2708031 45.3945272)
NOVIGLIO,POINT (9.0680642 45.3634662)
NUVOLENTO,POINT (10.3814565 45.5405424)
ALBIATE,POINT (9.2513061 45.6544665)
TREVIOLO,POINT (9.606696 45.6729331)
CALCIO,POINT (9.8453989 45.5033115)
CERMENATE,POINT (9.083256 45.7007569)
PREMANA,POINT (9.4575175 46.0532744)
CASTELNUOVO BOZZENTE,POINT (8.9417587 45.7584961)
PINAROLO PO,POINT (9.17128 45.0789132)
CORANA,POINT (8.9634298 45.067433)
LAINO,POINT (9.1022147 45.9830055)
STROZZA,POINT (9.5805226 45.7703057)
LEGNANO,POINT (8.9059818 45.595806)
DOLZAGO,POINT (9.3431981 45.769176)
CASTEL GABBIANO,POINT (9.7175858 45.4702316)
ARZAGO D'ADDA,POINT (9.5656935 45.4740048)
LENNA,POINT (9.682635 45.9313786)
CASTIRAGA VIDARDO,POINT (9.3977549 45.2644801)
VILLA CORTESE,POINT (8.8866559 45.56806)
MERCALLO,POINT (8.6720554 45.751954)
RETORBIDO,POINT (9.0493464 44.9462939)
BRESSANA BOTTARONE,POINT (9.1249625 45.0835699)
CUVIO,POINT (8.7334211 45.8862215)
ORIO AL SERIO,POINT (9.6956204 45.6692936)
ORNAGO,POINT (9.4241173 45.6003284)
REDAVALLE,POINT (9.2071101 45.0477769)
MOZZO,POINT (9.6098586 45.7016746)
ARCONATE,POINT (8.8407426 45.5426549)
CARDANO AL CAMPO,POINT (8.7555616 45.6469946)
MADONE,POINT (9.5457941 45.6506531)
GORLE,POINT (9.7141864 45.701057)
MALGRATE,POINT (9.3792134 45.8474774)
BORGOSATOLLO,POINT (10.236743 45.4814918)
GROMO,POINT (9.9702504 45.9738242)
LOCATELLO,POINT (9.5305533 45.8415442)
ZENEVREDO,POINT (9.3394976 45.0554438)
SESTO ED UNITI,POINT (9.9264721 45.1864731)
CASTEL ROZZONE,POINT (9.6193732 45.5526785)
CAMERATA CORNELLO,POINT (9.6410391 45.9141042)
RONCOFERRARO,POINT (10.9521764 45.1209009)
SAN FERMO DELLA BATTAGLIA,POINT (9.0405881 45.8072292)
LOVERE,POINT (10.0677543 45.8225092)
ZANICA,POINT (9.7051966 45.6362809)
GORDONA,POINT (9.3193406 46.2796375)
BOSSICO,POINT (10.047116 45.8425527)
BORGO SAN GIACOMO,POINT (9.984 45.3456379)
CERNUSCO LOMBARDONE,POINT (9.390571 45.6920427)
BELLANO,POINT (9.3216327 46.0459774)
VIGANO SAN MARTINO,POINT (9.8891954 45.7306769)
ORNICA,POINT (9.5635477 45.9934963)
TREMEZZINA,POINT (9.184632 45.9833248)
ALBANO SANT'ALESSANDRO,POINT (9.77294 45.6874046)
SCHILPARIO,POINT (10.1831536 46.0217801)
BEDULITA,POINT (9.5443084 45.7932107)
ORZIVECCHI,POINT (9.9638149 45.4247299)
QUISTELLO,POINT (10.9939677 44.9991097)
CAZZAGO BRABBIA,POINT (8.7298179 45.8032499)
POZZO D'ADDA,POINT (9.4968806 45.572447)
MONTORFANO,POINT (9.1460518 45.7815302)
GANDOSSO,POINT (9.8963494 45.6614268)
BOLLATE,POINT (9.1158496 45.5496813)
RODENGO - SAIANO,POINT (10.110262 45.5907561)
VIMODRONE,POINT (9.2871546 45.5153796)
CORMANO,POINT (9.1672034 45.5442534)
SUMIRAGO,POINT (8.7805741 45.7402938)
SERIATE,POINT (9.7295041 45.6626378)
SAN MARTINO SICCOMARIO,POINT (9.113867 45.158777)
MERONE,POINT (9.2500677 45.7816459)
MONTALTO PAVESE,POINT (9.2188069 44.9711375)
CAZZANO SANT'ANDREA,POINT (9.8755432 45.8081323)
GARGNANO,POINT (10.6308256 45.703494)
BOFFALORA SOPRA TICINO,POINT (8.8311404 45.4557319)
LURATE CACCIVIO,POINT (8.9907071 45.7645365)
ISOLA DI FONDRA,POINT (9.7488166 45.9782347)
MENCONICO,POINT (9.2760197 44.7991918)
AZZANELLO,POINT (9.9198137 45.3109587)
CORREZZANA,POINT (9.3055301 45.6687771)
CASTIONE DELLA PRESOLANA,POINT (10.0566135 45.9193449)
MONTEVECCHIA,POINT (9.3734192 45.7046501)
TIGNALE,POINT (10.702392 45.7427232)
VALLIO TERME,POINT (10.3896999 45.6138059)
SORMANO,POINT (9.2313161 45.8928224)
STAZZONA,POINT (9.2450545 46.1489089)
SAN ZENONE AL LAMBRO,POINT (9.3670628 45.3231955)
VAPRIO D'ADDA,POINT (9.5196327 45.5723032)
ANZANO DEL PARCO,POINT (9.2076503 45.7698607)
BURAGO DI MOLGORA,POINT (9.3869708 45.595804)
BRINZIO,POINT (8.7948663 45.8862329)
INVERIGO,POINT (9.2248195 45.7364916)
OGGIONO,POINT (9.3422332 45.7915227)
SAN GIORGIO BIGARELLO,POINT (10.8873394 45.1847687)
OSTIGLIA,POINT (11.1505185 45.0855244)
FORNOVO SAN GIOVANNI,POINT (9.6961703 45.4910767)
MARTINENGO,POINT (9.7744089 45.5601894)
LUVINATE,POINT (8.7674228 45.849246)
GALLIAVOLA,POINT (8.8244723 45.0949226)
CORRIDO,POINT (9.1242234 46.0563127)
CASTELLEONE,POINT (9.7770313 45.2948519)
CREMELLA,POINT (9.3050695 45.7418263)
SANTA MARIA DELLA VERSA,POINT (9.3037027 44.9858946)
ZINASCO,POINT (9.0301747 45.112747)
MARCHENO,POINT (10.2151719 45.7166491)
COMAZZO,POINT (9.4520649 45.4464736)
