MUNICIPALITY_NAME,geometry
CARUGATE,POINT (9.3441325 45.5509314)
QUINTANO,POINT (9.6206234 45.4215667)
MARCIGNAGO,POINT (9.0812293 45.2477162)
PIAZZATORRE,POINT (9.6941974 46.0069947)
GAVARDO,POINT (10.4477651 45.5914742)
BEMA,POINT (9.5891997 46.0787669)
CROTTA D'ADDA,POINT (9.8681088 45.1541335)
SENAGO,POINT (9.120674 45.5721904)
VERGIATE,POINT (8.7032489 45.7327542)
TREZZONE,POINT (9.3528753 46.1881183)
CROSIO DELLA VALLE,POINT (8.7645258 45.7603249)
AGNADELLO,POINT (9.5546963 45.4395009)
BUGUGGIATE,POINT (8.8058907 45.7846677)
MILANO,POINT (9.1594985 45.4612932)
BRUMANO,POINT (9.4982071 45.8539973)
BRISSAGO - VALTRAVAGLIA,POINT (8.7387392 45.9496652)
BEDERO VALCUVIA,POINT (8.799195 45.9105829)
CAPPELLA CANTONE,POINT (9.8348407 45.2420519)
SANTA MARGHERITA DI STAFFORA,POINT (9.2437563 44.7364599)
CENATE SOPRA,POINT (9.8191511 45.7188953)
IRMA,POINT (10.2992951 45.7746384)
DEROVERE,POINT (10.2458374 45.1125486)
PAGNONA,POINT (9.4068591 46.0757215)
SCANDOLARA RIPA D'OGLIO,POINT (10.1487119 45.227069)
COLTURANO,POINT (9.342464 45.3777118)
SAN DANIELE PO,POINT (10.1775355 45.0536939)
ARTOGNE,POINT (10.1997358 45.8371872)
RANZANICO,POINT (9.9396027 45.788951)
VALGANNA,POINT (8.8246595 45.9006191)
TORRE BERETTI E CASTELLARO,POINT (8.6834458 45.0756522)
MONTANO LUCINO,POINT (9.0276907 45.7903017)
SERLE,POINT (10.3606222 45.5766671)
VALMADRERA,POINT (9.3484693 45.8533137)
SUISIO,POINT (9.5060124 45.6568889)
NOVATE MILANESE,POINT (9.1398661 45.5319971)
GREZZAGO,POINT (9.4950436 45.5908299)
CAPONAGO,POINT (9.3763726 45.5650727)
SONGAVAZZO,POINT (10.0336628 45.8698472)
ZERBOLO',POINT (9.0185033 45.21558)
ELLO,POINT (9.3621516 45.782361)
BOTTANUCO,POINT (9.5146182 45.6374211)
MARZANO,POINT (9.2875152 45.2472699)
CASTELNOVETTO,POINT (8.6285695 45.2489124)
PAULLO,POINT (9.4046151 45.4144688)
VALSOLDA,POINT (9.0549618 46.0290988)
PREDORE,POINT (10.0223541 45.6849342)
SIRMIONE,POINT (10.6123782 45.4784875)
