"NOME_COM","sum_area","weighted_sum_Altitude","weighted_sum_WE_temp_2m","weighted_sum_WE_wind_speed_10m_mean","weighted_sum_WE_wind_speed_10m_max","weighted_sum_WE_tot_precipitation","weighted_sum_WE_precipitation_t","weighted_sum_WE_surface_pressure","weighted_sum_WE_solar_radiation","weighted_sum_WE_rh_min","weighted_sum_WE_rh_mean","weighted_sum_WE_rh_max","weighted_sum_WE_wind_speed_100m_mean","weighted_sum_WE_wind_speed_100m_max","weighted_sum_WE_blh_layer_max","weighted_sum_WE_blh_layer_min","weighted_sum_EM_nh3_livestock_mm","weighted_sum_EM_nh3_agr_soils","weighted_sum_EM_nh3_agr_waste_burn","weighted_sum_EM_nh3_sum","weighted_sum_EM_nox_traffic","weighted_sum_EM_nox_sum","weighted_sum_EM_so2_sum","weighted_sum_LI_pigs","weighted_sum_LI_bovine","weighted_sum_LA_hvi","weighted_sum_LA_lvi","weighted_sum_LA_land_use"
"TAVAZZANO CON VILLAVESCO",16239769.6715195,83.4808172912793,13.5702290827782,1.58880323026662,2.65255294955263,0.00293728083118242,0.333333333333333,100276.906414922,11283941.0317351,57.5269801753534,75.6351109249595,91.5864225976938,2.7513484478436,4.99118395570251,1040.14031094766,42.4771174095472,18.9447451195715,6.42280726546776,0.129684488559647,26.0338158621602,3.38191140495066,18.5930182946521,1.29672200604632,335.688484320919,160.146476811698,1.84956120688993,2.39188329886934,211
"TAVERNERIO",11578556.5118001,648.397362299204,11.7159596769408,1.16059213467905,1.86048929460357,0.00447743379497035,0.337426671534748,95869.6030104604,11325524.8661264,59.7221327054711,75.6933597484931,90.8675708128552,2.09686396812326,3.7981215876822,966.720012625736,37.8964453295068,0.649679030266795,0.321266075543892,0.000723957407955847,1.49454033801756,0.879208880293949,4.07842601165772,1.38298220500101,0.371306580022169,6.34012249157721,2.23651266653709,2.78710755904952,277.711398187288
"TAVERNOLA BERGAMASCA",12981892.7492877,377.086091457633,11.2919302112314,1.12433192225933,1.77431984146805,0.00372575822303043,0.350434244626697,95831.4329115159,11399721.3052057,62.9451450854168,79.6703133762206,93.5876416227988,1.74941691708629,3.18149530362252,943.940028454756,23.2499023202493,4.43910256130565,0.871538407458304,0.00313307191732751,5.5107815624406,1.27306665121814,3.72129773469215,2.23641405020656,1.99848888664225,16.3003298776978,2.64479395335437,2.68308638967028,380.446949677236
"TAVERNOLE SUL MELLA",19881479.6534697,894.411358703408,9.52442600104848,0.999991074836191,1.62666443898326,0.00390661198182338,0.319672131147541,92055.9296640994,11007494.522582,63.2570259191802,79.8758416356432,93.7965511626698,1.65670200091134,3.02273088503428,948.916079135689,23.8805034852383,0.847269433256006,1.50665166473949,0.00477512221094146,2.46615076562314,0.842033600915492,1.18725170640483,0.219394360413662,1.389559482632,8.29638745034618,3.67677729607098,2.47437790458977,311
"TEGLIO",108157791.76201,1419.0387830555,4.63788160379693,0.76258076579754,1.22481964922667,0.00445209629186442,0.941851375824727,84312.4779000318,9627343.11978578,59.0516312883559,76.849574280706,91.3708319155891,1.56288687998237,2.62296753866747,959.754820539308,18.739137522254,0.644385874483327,1.59331975783773,0.00264470388681121,2.29114416694028,0.705249357309425,0.839657729860921,0.0536085800333798,0.498395271151461,7.40489633953799,4.25332009737906,1.28160398478099,318.308137958818
"TELGATE",8363275.43524303,259.86394241333,11.9938841256831,1.34628005464481,2.09148469945355,0.00337238876557377,0.319672131147541,97708.2513661202,11110351.0928962,61.8475683060109,78.2979781420765,92.5256010928962,1.89492759562842,3.46731967213115,940.589617486339,23.9224590163934,14.5919289617486,2.13562322404372,0.00999518797814208,17.404587431694,4.50884699453552,7.55510928961749,0.968677595628415,122.685027322404,72.3325409836066,2.03515300546448,2.57163661202186,211
"TEMU`",43319974.3968859,1993.22497626669,1.46531927947298,0.792269837334339,1.25230571334421,0.00364648386434884,1.30750190384,79482.482146248,8744100.65262347,57.989255386571,76.9116328155831,92.3298922406554,1.71421882861172,2.67344315355754,979.12316597449,20.3850214031103,0.301585999511892,1.38488699653196,0.00788375242210533,1.72818740119512,0.68848235134716,0.787022427954928,0.0308235968715486,0.102216994067431,4.08606534342877,4.45098839426668,0.974720630143212,317.246193587245
"TERNATE",4806989.67273683,280.201584967718,12.7172046287483,1.22295541022926,1.94574318273481,0.00419110988413623,0.363387978142077,98076.5899235463,11522451.6780183,57.9780877250536,75.7497798440592,92.2332217515517,2.11184197809278,3.84315012141499,971.381509195653,34.8515755685448,1.67029993553587,0.585394302233909,0.00872205990873667,2.75454576426395,4.00780884303064,7.97545592274571,3.45146544265376,0.85549508415995,12.0607446114387,2.23690726451838,2.90330159581903,175.856459978781
"TERNO D`ISOLA",4100688.28613694,207.44391784668,12.4743977868852,1.46634590163934,2.28798278688525,0.00345920293497268,0.333333333333333,98613.6612021858,11126840.9836066,59.9690983606557,76.9739617486339,92.2325136612022,2.12451857923497,3.90096448087432,955.743142076503,29.4912841530055,5.61317213114754,2.60108524590164,0.0420690327868852,9.54148633879781,4.25875956284153,12.783087431694,2.79244808743169,52.1991803278689,66.8167213114754,2.28873224043716,2.14615846994536,211
"TERRANOVA DEI PASSERINI",11235289.6464212,58.3200866564291,14.0403998636352,1.63983988913583,2.77407048431417,0.00282645236738786,0.366120218579235,100870.729916226,11388934.3950063,57.848468535842,75.5904059260409,91.1855556661598,2.81546221066606,5.06920345134538,1059.73426064975,44.7708249653917,17.2828354029319,6.25122963284074,0.129339213012198,23.8964339531844,2.64924126299393,4.2747700500924,0.682536642310999,391.959139254915,157.601335301848,1.88772336187803,2.23635138729059,211
