,MUNICIPALITY_NAME,geometry
449,LESMO,POINT (9.3056858 45.6463464)
450,PORTALBERA,POINT (9.3163702 45.0945301)
451,TORRE DE' ROVERI,POINT (9.7781567 45.70068)
452,ZEME,POINT (8.6760828 45.1956596)
453,GERA LARIO,POINT (9.3868912 46.1561003)
454,BARNI,POINT (9.2652203 45.9078202)
455,MOLTRASIO,POINT (9.0949852 45.8740868)
456,CREMA,POINT (9.6843491 45.3660174)
457,BUSTO ARSIZIO,POINT (8.8433804 45.6053799)
458,LEGGIUNO,POINT (8.6045622 45.871849)
459,CHIGNOLO PO,POINT (9.4922829 45.1435039)
460,COLLEBEATO,POINT (10.2059922 45.5853834)
461,LIMBIATE,POINT (9.1200362 45.6043091)
462,RODANO,POINT (9.3483304 45.4746058)
463,PISOGNE,POINT (10.1339458 45.7980816)
464,FORESTO SPARSO,POINT (9.9124283 45.6929703)
465,ROCCA SUSELLA,POINT (9.0966331 44.9191438)
466,CERTOSA DI PAVIA,POINT (9.1260801 45.2528217)
467,MONTAGNA IN VALTELLINA,POINT (9.9249132 46.2198858)
468,MANERBIO,POINT (10.1418016 45.3520816)
469,CASSINETTA DI LUGAGNANO,POINT (8.908347 45.4252411)
470,VALTORTA,POINT (9.5348072 45.9802004)
471,VIZZOLO PREDABISSI,POINT (9.3479848 45.3586332)
472,PORTO CERESIO,POINT (8.9072069 45.9098974)
473,CASARGO,POINT (9.4020586 46.0393101)
474,SANTA CRISTINA E BISSONE,POINT (9.4212102 45.154432)
475,ZANDOBBIO,POINT (9.8769767 45.6841563)
476,BOFFALORA D'ADDA,POINT (9.4877107 45.3593927)
477,TORRE DI SANTA MARIA,POINT (9.8167065 46.2329926)
478,CORBETTA,POINT (8.9332568 45.4590432)
479,ODOLO,POINT (10.3904065 45.6376071)
480,COCCAGLIO,POINT (9.964779 45.5557165)
481,TICENGO,POINT (9.8224848 45.383278)
482,CASTELSEPRIO,POINT (8.8625511 45.7182537)
483,SEDRIANO,POINT (8.9758123 45.4839796)
484,SALTRIO,POINT (8.9246195 45.8772115)
485,ALBOSAGGIA,POINT (9.8630437 46.106246)
486,ROVELLASCA,POINT (9.046081 45.6687091)
487,PERO,POINT (9.0769983 45.5107884)
488,PARONA,POINT (8.7598016 45.2827953)
489,VILLANUOVA SUL CLISI,POINT (10.465455 45.6093651)
490,PEZZAZE,POINT (10.2202312 45.7844452)
491,OLGINATE,POINT (9.4106528 45.7858285)
492,ROBBIATE,POINT (9.4347962 45.6839501)
